"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"1",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,10,NA,"A5","21-10 81ST STREET                        ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 600,000 ","4/10/2017",6e+05,1224,1800,0,FALSE
"2",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,11,NA,"A5","21-12 81ST STREET                        ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 600,000 ","4/10/2017",6e+05,1224,1800,0,FALSE
"3",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,61,NA,"A5","21-21 80TH   STREET                      ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 660,000 ","7/26/2016",660000,1224,1800,0,FALSE
"4",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,63,NA,"A5","21-17 80TH   STREET                      ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 275,500 ","11/18/2016",275500,1224,1800,0,FALSE
"9",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15829,22,NA,"A1","332 BEACH 40TH STREET                    ","            ",11691," 1 "," -   "," 1 "," 2,670 "," 1,480 ",2005,1,"A1"," 310,000 ","8/18/2016",310000,1480,2670,0,FALSE
"10",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15830,20,NA,"A1","320 BEACH 41 STREET                      ","            ",11691," 1 "," -   "," 1 "," 2,469 "," 1,476 ",2005,1,"A1"," 369,046 ","10/27/2016",369046,1476,2469,0,FALSE
"11",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15831,24,NA,"A2","331 BEACH 41ST STREET                    ","            ",11691," 1 "," -   "," 1 "," 3,804 "," 1,600 ",1930,1,"A2"," 359,000 ","5/4/2016",359000,1600,3804,0,FALSE
"12",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,73,NA,"A5","305 BEACH 45 STREET                      ","            ",11691," 1 "," -   "," 1 "," 2,612 "," 1,476 ",2006,1,"A5"," 370,000 ","9/22/2016",370000,1476,2612,0,FALSE
"14",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15849,22,NA,"A6","40-01 ROCKAWAY BEACH BLVD                ","            ",11691," 1 "," -   "," 1 "," 2,626 "," 618 ",1920,1,"A6"," 107,315 ","5/13/2016",107315,618,2626,0,FALSE
"15",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,92,NA,"A5","145 COMPASS PLACE                        ","            ",11692," 1 "," -   "," 1 "," 3,667 "," 2,515 ",2014,1,"A5"," 733,140 ","10/14/2016",733140,2515,3667,0,FALSE
"16",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15907,87,NA,"A2","3-12 BEACH 63 STREET                     ","            ",11692," 1 "," -   "," 1 "," 3,780 "," 888 ",1940,1,"A2"," 300,000 ","12/12/2016",3e+05,888,3780,0,FALSE
"17",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15913,87,NA,"A1","317 BEACH 66 STREET                      ","            ",11692," 1 "," -   "," 1 "," 2,500 "," 1,220 ",1925,1,"A1"," 332,000 ","7/26/2016",332000,1220,2500,0,FALSE
